lat	lon	ele
43.293091	-0.284408	230
43.293085	-0.284388	230
43.293079	-0.284368	230
43.293074	-0.284347	230
43.293068	-0.284327	230
43.293062	-0.284307	230
43.293056	-0.284287	230
43.293026	-0.284162	231
43.292984	-0.284038	231
43.292953	-0.283915	231
43.292919	-0.283792	231
43.292889	-0.283667	231
43.292854	-0.283542	231
43.292812	-0.283415	231
43.292782	-0.283285	231
43.29274	-0.283152	231
43.292709	-0.283017	231
43.292667	-0.282883	231
43.292637	-0.282747	231
43.292602	-0.282608	231
43.292561	-0.282468	232
43.292522	-0.282327	232
43.29248	-0.282185	232
43.292431	-0.28204	232
43.292393	-0.281893	232
43.292351	-0.281747	232
43.292309	-0.281598	232
43.292271	-0.28145	232
43.292236	-0.2813	232
43.292194	-0.281147	232
43.292156	-0.280995	232
43.292122	-0.280843	233
43.29208	-0.280697	233
43.292042	-0.280548	233
43.292	-0.2804	233
43.29195	-0.280252	233
43.291904	-0.280103	233
43.291855	-0.279955	233
43.291805	-0.279807	233
43.291763	-0.279662	234
43.291725	-0.279518	234
43.291683	-0.279373	234
43.291641	-0.279223	234
43.291603	-0.279073	234
43.291569	-0.278927	234
43.291527	-0.278777	234
43.291489	-0.278618	234
43.291447	-0.278457	234
43.291397	-0.278292	234
43.291359	-0.278125	235
43.291317	-0.277957	235
43.291267	-0.27779	235
43.291225	-0.277622	235
43.29118	-0.27745	235
43.291138	-0.277278	235
43.291096	-0.277105	235
43.291058	-0.276932	235
43.291016	-0.27676	235
43.290974	-0.276587	235
43.290916	-0.276413	235
43.290871	-0.276238	235
43.290821	-0.276063	235
43.290771	-0.275888	235
43.290729	-0.27571	235
43.290684	-0.275535	236
43.290634	-0.275362	236
43.290585	-0.275187	236
43.290535	-0.275012	236
43.290485	-0.274837	236
43.29044	-0.274665	236
43.29039	-0.274493	236
43.29034	-0.274323	236
43.290291	-0.274152	236
43.290249	-0.273978	236
43.290203	-0.273808	236
43.290161	-0.273645	236
43.290112	-0.27348	236
43.290073	-0.273318	236
43.290016	-0.273158	236
43.289967	-0.273	236
43.289917	-0.272843	236
43.28986	-0.272685	236
43.289818	-0.272527	237
43.289772	-0.272367	237
43.28973	-0.272207	237
43.289688	-0.272045	237
43.28965	-0.271883	237
43.2896	-0.271722	237
43.289558	-0.271562	237
43.289509	-0.271402	237
43.289471	-0.271238	237
43.289421	-0.271077	237
43.289371	-0.270912	237
43.28933	-0.27075	237
43.289284	-0.270588	237
43.289242	-0.270425	238
43.2892	-0.270262	238
43.28915	-0.270097	238
43.289112	-0.269935	238
43.289062	-0.269773	238
43.289013	-0.269608	238
43.288963	-0.26944	238
43.288925	-0.269275	238
43.288876	-0.26911	238
43.288834	-0.268943	238
43.288784	-0.26878	238
43.288738	-0.268622	238
43.288696	-0.26846	238
43.288647	-0.268298	238
43.288597	-0.268137	238
43.288551	-0.267973	238
43.288509	-0.267813	238
43.28846	-0.267655	239
43.288418	-0.267498	239
43.28838	-0.267345	239
43.288338	-0.267188	239
43.288296	-0.267032	239
43.288258	-0.266875	239
43.288208	-0.266718	239
43.288166	-0.266558	239
43.28812	-0.266398	239
43.288078	-0.266242	240
43.288036	-0.26608	240
43.287987	-0.265922	240
43.287949	-0.265762	240
43.287899	-0.265602	240
43.287857	-0.265445	240
43.287807	-0.265287	240
43.287769	-0.265125	240
43.28772	-0.264963	240
43.287678	-0.264798	241
43.287632	-0.264635	241
43.28759	-0.26447	241
43.287548	-0.264305	241
43.28751	-0.264142	241
43.287468	-0.26398	241
43.287426	-0.263818	242
43.287388	-0.263657	242
43.287338	-0.263493	242
43.287296	-0.263333	242
43.287247	-0.263173	242
43.287197	-0.263012	242
43.287151	-0.262848	242
43.287102	-0.262685	243
43.28706	-0.262518	243
43.28701	-0.262357	243
43.286964	-0.262195	243
43.28693	-0.262032	243
43.286888	-0.261868	243
43.286842	-0.261703	243
43.2868	-0.26154	243
