lat	lon	ele
42.793545	0.588755	633
42.793556	0.588737	633
42.793564	0.58871	633
42.793564	0.588675	633
42.793564	0.58863	633
42.793556	0.588572	633
42.793545	0.5885	633
42.793537	0.588422	633
42.793537	0.58834	633
42.793529	0.588257	633
42.793522	0.588163	633
42.793514	0.588058	633
42.793507	0.587948	633
42.793499	0.587832	634
42.793491	0.587715	634
42.793472	0.587593	634
42.793457	0.587475	634
42.793449	0.587355	634
42.793442	0.587237	634
42.793434	0.587123	634
42.793423	0.587008	635
42.793415	0.586893	634
42.793407	0.586778	634
42.793385	0.586663	634
42.793385	0.586553	635
42.793377	0.586422	635
42.793385	0.586312	636
42.7934	0.586212	636
42.793415	0.586115	636
42.793449	0.586023	637
42.793499	0.58593	637
42.793529	0.585848	638
42.793564	0.585765	638
42.793602	0.58568	639
42.793636	0.585595	639
42.793667	0.58551	639
42.793701	0.585423	639
42.793735	0.585333	640
42.793774	0.585245	641
42.793808	0.585162	641
42.793831	0.585073	642
42.793865	0.584988	642
42.79388	0.584908	642
42.793903	0.584825	643
42.79393	0.584738	643
42.793945	0.584648	644
42.793968	0.584552	645
42.793987	0.584455	645
42.794003	0.584357	646
42.79401	0.584257	646
42.794018	0.584155	647
42.794025	0.584055	648
42.794033	0.58396	648
42.794052	0.58387	649
42.79406	0.58378	650
42.794067	0.58369	651
42.794067	0.583602	651
42.794075	0.583518	651
42.79409	0.583432	651
42.794109	0.583348	652
42.794125	0.583257	652
42.794147	0.583163	653
42.794167	0.583068	653
42.794182	0.582975	654
42.794197	0.582895	654
42.794224	0.58281	655
42.794247	0.582725	655
42.794254	0.582635	656
42.794254	0.58254	657
42.794254	0.582445	657
42.794247	0.58236	658
42.794239	0.582275	658
42.794239	0.58219	659
42.794231	0.582105	660
42.794224	0.582018	660
42.794231	0.581928	660
42.794231	0.581837	661
42.794231	0.581745	661
42.794231	0.581653	662
42.794231	0.581558	663
42.794231	0.581463	663
42.794224	0.581372	664
42.794224	0.581283	665
42.794224	0.581198	665
42.794224	0.58111	666
42.794231	0.581027	667
42.794231	0.580948	667
42.794239	0.580877	668
42.794247	0.58081	669
42.794254	0.580738	669
42.794262	0.58066	669
42.794269	0.580582	670
42.794277	0.580508	671
42.794289	0.580433	671
42.794296	0.58036	672
42.794304	0.580285	672
42.794319	0.580205	673
42.794327	0.58013	673
42.794353	0.580057	674
42.794369	0.579982	674
42.794384	0.579907	675
42.794399	0.579835	676
42.794418	0.579767	676
42.794434	0.579705	677
42.794456	0.57963	677
42.794476	0.579548	678
42.794491	0.579472	678
42.794514	0.579398	678
42.794533	0.57933	678
42.794556	0.579263	679
42.79459	0.579195	679
42.794628	0.579137	680
42.79467	0.579077	680
42.794712	0.579015	681
42.794758	0.578965	681
42.7948	0.57892	682
42.794849	0.578873	682
42.794887	0.578817	683
42.794929	0.57875	683
42.794979	0.57868	684
42.795036	0.578617	684
42.795078	0.578555	685
42.795116	0.57849	686
42.795151	0.57842	687
42.795181	0.57835	687
42.795216	0.57828	687
42.795246	0.578208	688
42.79528	0.578138	688
42.795322	0.578067	689
42.795353	0.577992	690
42.795395	0.577923	691
42.795425	0.577858	691
42.79546	0.577788	692
42.795475	0.577703	692
42.79549	0.577627	693
42.795525	0.57756	693
42.795555	0.577497	694
42.795597	0.577433	695
42.79562	0.577372	695
42.795654	0.577305	696
42.795677	0.577233	696
42.795696	0.577158	696
42.795719	0.577087	697
42.795742	0.577013	697
42.795753	0.576942	698
42.795761	0.57687	698
42.795769	0.576795	699
42.795776	0.57672	699
42.795784	0.576643	699
42.795792	0.576563	700
42.795799	0.576483	700
42.795811	0.576397	701
42.795818	0.576317	701
42.795834	0.576248	702
42.795841	0.576177	703
42.795841	0.576108	704
42.795856	0.576047	704
42.795864	0.575973	705
42.795864	0.575898	705
42.795856	0.57582	705
42.795849	0.57574	706
42.795856	0.575658	706
42.795856	0.575582	707
42.795876	0.575503	707
42.795883	0.575427	708
42.795891	0.575345	708
42.795898	0.575268	709
42.795906	0.57519	709
42.795914	0.575118	710
42.79594	0.575045	710
42.795956	0.57497	710
42.795963	0.574893	711
42.795978	0.574815	712
42.795998	0.574738	712
42.796005	0.574663	713
42.79602	0.574587	713
42.796043	0.574528	714
42.796062	0.57445	714
42.796078	0.574373	714
42.796093	0.574295	714
42.796085	0.574222	715
42.796093	0.574145	715
42.796108	0.574067	716
42.796135	0.573997	716
42.796158	0.573925	717
