lat	lon	ele
43.094612	0.000442	389
43.094612	0.000567	389
43.09462	0.000698	389
43.09462	0.000837	389
43.09462	0.000982	389
43.094612	0.001123	389
43.094612	0.001267	389
43.094612	0.001412	389
43.094612	0.001558	389
43.094612	0.001705	389
43.094612	0.001857	389
43.094612	0.002008	389
43.094612	0.002153	389
43.094604	0.002295	389
43.094604	0.002443	389
43.094604	0.002592	389
43.094604	0.002737	389
43.094597	0.002873	389
43.094597	0.003012	388
43.094604	0.003155	388
43.094612	0.003297	388
43.094612	0.003435	388
43.09462	0.003578	388
43.094612	0.003722	388
43.094604	0.003858	389
43.094597	0.003995	389
43.094589	0.004133	389
43.094589	0.004275	389
43.094589	0.004413	389
43.094589	0.004548	389
43.094582	0.004688	389
43.09457	0.00483	389
43.094562	0.004973	389
43.094562	0.005113	389
43.094562	0.005253	389
43.09457	0.005397	389
43.09457	0.00554	389
43.09457	0.005682	389
43.09457	0.005825	389
43.094582	0.00597	389
43.09457	0.006127	390
43.09457	0.006277	390
43.094562	0.006428	390
43.094562	0.006575	390
43.09457	0.006725	390
43.09457	0.006873	390
43.094582	0.007022	390
43.094589	0.007178	390
43.094597	0.007332	390
43.094597	0.007487	390
43.094597	0.007648	389
43.094597	0.007813	389
43.094597	0.007978	389
43.094597	0.008145	389
43.094604	0.008313	389
43.094604	0.008487	389
43.094604	0.008658	389
43.094604	0.008828	389
43.094597	0.008997	389
43.094597	0.009162	389
43.094589	0.009322	389
43.094582	0.009485	389
43.094589	0.009647	389
43.094612	0.00981	389
43.094662	0.009968	389
43.094711	0.010115	389
43.094761	0.010257	389
43.094814	0.010397	390
43.094871	0.010535	390
43.094936	0.01067	390
43.094994	0.010803	390
43.09507	0.010938	391
43.095127	0.011077	391
43.0952	0.011218	391
43.095287	0.01137	391
43.095371	0.011525	391
43.095451	0.011672	391
43.095531	0.011817	391
43.095615	0.011972	391
43.095695	0.012132	391
43.095776	0.012295	391
43.095848	0.012457	391
43.095932	0.01261	391
43.096012	0.01276	391
43.096092	0.012918	391
43.096176	0.01308	391
43.096256	0.013245	390
43.096313	0.01342	390
43.096355	0.013612	390
43.096378	0.013812	389
43.096394	0.014018	389
43.096394	0.014225	389
43.096394	0.014432	389
43.096401	0.014632	389
43.096436	0.014843	388
43.096493	0.015042	388
43.096558	0.015235	388
43.096615	0.015423	388
43.09668	0.015603	388
43.096744	0.015773	388
43.096809	0.015935	388
43.096867	0.016093	388
43.096931	0.016255	388
43.096989	0.016412	389
43.097046	0.016565	389
43.097103	0.016712	389
43.097168	0.016852	389
43.097233	0.017003	390
43.097298	0.017137	390
43.097362	0.01727	391
43.097427	0.017408	391
43.097485	0.017553	392
43.097549	0.017707	392
43.097614	0.017863	393
43.097679	0.018013	393
43.097755	0.018163	393
43.097836	0.01831	393
43.097908	0.018462	393
43.097988	0.018613	393
43.098072	0.018765	393
43.098152	0.01892	393
43.098225	0.019078	393
43.098309	0.019232	393
43.098381	0.019387	393
43.098446	0.019547	393
43.098511	0.019738	393
43.098568	0.019932	393
43.09861	0.020123	393
43.098648	0.020318	393
43.09869	0.020515	393
43.098732	0.020712	393
43.098762	0.02091	392
43.098797	0.021102	392
43.098827	0.021293	392
43.098862	0.021483	391
43.0989	0.021672	391
43.098942	0.021862	391
43.098976	0.022058	390
43.099014	0.02225	390
43.099056	0.022447	389
43.099087	0.022645	389
43.099121	0.022843	389
43.099163	0.023038	389
43.099201	0.02323	389
43.099235	0.023417	389
43.099277	0.023603	389
43.099308	0.023787	389
43.09935	0.023962	389
43.099388	0.024145	389
43.09943	0.024337	389
43.099472	0.02453	389
43.099503	0.02472	389
43.099537	0.024915	389
43.099575	0.025105	389
43.099625	0.0253	389
43.099667	0.025493	389
43.099724	0.025685	388
43.099796	0.02587	388
43.099895	0.026035	388
43.099998	0.026195	388
43.100121	0.026352	388
43.100243	0.026505	387
43.100365	0.026655	387
43.100471	0.026808	387
43.100571	0.026967	387
43.100658	0.027132	387
43.100716	0.027303	387
43.100758	0.027478	387
43.10078	0.027658	387
43.100822	0.027823	387
43.100853	0.027988	387
43.100902	0.02814	387
43.100952	0.02829	388
43.101009	0.028427	388
43.101074	0.028568	388
43.101139	0.028713	389
43.101212	0.028865	389
43.101284	0.028998	389
43.10136	0.029127	389
43.10144	0.029252	389
43.10152	0.02938	389
43.101612	0.029488	389
43.101707	0.029602	389
43.101807	0.029713	389
