Birmingham,AL,33.5279,-86.7971
Huntsville,AL,34.6981,-86.6412
Mobile,AL,30.6782,-88.1162
Montgomery,AL,32.3482,-86.2668
Tuscaloosa,AL,33.2348,-87.5268
Hoover,AL,33.3763,-86.8068
Auburn,AL,32.6087,-85.4903
Florence,AL,34.8303,-87.6655
Anniston,AL,33.6712,-85.8135
Dothan,AL,31.2336,-85.407
Decatur,AL,34.5731,-86.9905
Madison,AL,34.7114,-86.7626
Vestavia Hills,AL,33.4518,-86.7437
Phenix City,AL,32.4585,-85.0253
Prattville,AL,32.4597,-86.4573
Gadsden,AL,34.0086,-86.0157
Alabaster,AL,33.2198,-86.8225
Opelika,AL,32.6612,-85.3769
Northport,AL,33.2586,-87.5993
Enterprise,AL,31.3275,-85.8463
Daphne,AL,30.6263,-87.8816
Homewood,AL,33.4619,-86.809
Bessemer,AL,33.3712,-86.9728
Athens,AL,34.7843,-86.9503
Trussville,AL,33.6405,-86.5815
Pelham,AL,33.3114,-86.7573
Albertville,AL,34.2633,-86.2108
Oxford,AL,33.5967,-85.8687
Mountain Brook,AL,33.4871,-86.74
Fairhope,AL,30.5209,-87.8813
Helena,AL,33.2837,-86.8791
Foley,AL,30.3983,-87.665
Prichard,AL,30.7735,-88.1301
Selma,AL,32.4166,-87.0336
Tillmans Corner,AL,30.5819,-88.2128
Cullman,AL,34.1775,-86.8407
Troy,AL,31.8021,-85.9664
Hueytown,AL,33.4239,-87.022
Millbrook,AL,32.5027,-86.3737
Center Point,AL,33.6447,-86.6852
Calera,AL,33.1254,-86.7449
Muscle Shoals,AL,34.7432,-87.6343
Saraland,AL,30.8479,-88.1004
Gardendale,AL,33.6677,-86.8069
Talladega,AL,33.4333,-86.0986
Scottsboro,AL,34.6438,-86.0491
Hartselle,AL,34.4391,-86.9396
Alexander City,AL,32.9229,-85.9358
Fort Payne,AL,34.4559,-85.6965
Gulf Shores,AL,30.2764,-87.7017
Chelsea,AL,33.3262,-86.63
Ozark,AL,31.4508,-85.6473
Jasper,AL,33.8508,-87.271
Irondale,AL,33.5439,-86.6606
McCalla,AL,33.3023,-87.0302
Moody,AL,33.5986,-86.4963
Jacksonville,AL,33.8088,-85.7545
Pell City,AL,33.561,-86.2669
Eufaula,AL,31.9102,-85.1505
Sylacauga,AL,33.178,-86.2605
Leeds,AL,33.5436,-86.5639
Russellville,AL,34.5055,-87.7283
Saks,AL,33.7118,-85.8536
Valley,AL,32.8088,-85.181
Clay,AL,33.6951,-86.609
Fairfield,AL,33.4747,-86.9194
Rainbow City,AL,33.9336,-86.0922
Boaz,AL,34.1985,-86.1529
Spanish Fort,AL,30.7254,-87.8597
Fultondale,AL,33.6174,-86.8014
Pleasant Grove,AL,33.494,-86.9782
Meadowbrook,AL,33.3935,-86.7041
Sheffield,AL,34.757,-87.6977
Southside,AL,33.9007,-86.0238
Forestdale,AL,33.5737,-86.9
Pike Road,AL,32.2939,-86.09
Tuskegee,AL,32.4409,-85.7131
Tuscumbia,AL,34.7204,-87.7035
Andalusia,AL,31.3102,-86.4781
Atmore,AL,31.0927,-87.4762
Clanton,AL,32.8444,-86.6233
Guntersville,AL,34.3671,-86.2637
Arab,AL,34.3309,-86.4991
Meridianville,AL,34.8729,-86.5722
Orange Beach,AL,30.2942,-87.5849
Bay Minette,AL,30.893,-87.7912
Brook Highland,AL,33.4359,-86.6849
Greenville,AL,31.8437,-86.638
Pinson,AL,33.7055,-86.6678
Demopolis,AL,32.498,-87.8298
Wetumpka,AL,32.5406,-86.2053
Hamilton,AL,34.1346,-87.9755
Montevallo,AL,33.1246,-86.8477
Lincoln,AL,33.5935,-86.1365
Lanett,AL,32.8577,-85.2078
Oneonta,AL,33.9394,-86.4932
Satsuma,AL,30.8578,-88.0631
Opp,AL,31.2848,-86.257
Harvest,AL,34.8558,-86.752
Robertsdale,AL,30.5535,-87.7023
Chickasaw,AL,30.7715,-88.0793
Highland Lakes,AL,33.3973,-86.6495
Tarrant,AL,33.5945,-86.7685
Grayson Valley,AL,33.6467,-86.6417
Monroeville,AL,31.5162,-87.3279
Theodore,AL,30.5408,-88.1885
Fort Rucker,AL,31.3428,-85.7154
Attalla,AL,34.005,-86.1039
Moores Mill,AL,34.8491,-86.5222
Rainsville,AL,34.4938,-85.8436
Smiths Station,AL,32.528,-85.0943
Roanoke,AL,33.1453,-85.3694
Glencoe,AL,33.9447,-85.9322
Redland,AL,32.4754,-86.1375
Brewton,AL,31.1113,-87.0737
Midfield,AL,33.4553,-86.9224
Tallassee,AL,32.5315,-85.8903
Margaret,AL,33.6734,-86.468
Holtville,AL,32.6314,-86.3268
Semmes,AL,30.7899,-88.2389
Headland,AL,31.3501,-85.3523
Daleville,AL,31.2915,-85.7117
Piedmont,AL,33.9269,-85.6149
Winfield,AL,33.9334,-87.7961
Odenville,AL,33.6978,-86.4228
Holt,AL,33.2302,-87.4827
Jackson,AL,31.5318,-87.8915
Childersburg,AL,33.2962,-86.3456
Springville,AL,33.7643,-86.4742
Argo,AL,33.6963,-86.5063
Hokes Bluff,AL,33.9902,-85.8639
Adamsville,AL,33.6073,-86.974
Haleyville,AL,34.2331,-87.6175
Fayette,AL,33.6943,-87.8307
Geneva,AL,31.0437,-85.8763
Columbiana,AL,33.193,-86.6114
Mount Olive,AL,33.6778,-86.8727
Valley Grande,AL,32.4862,-87.0305
Alexandria,AL,33.7675,-85.8792
Pine Level,AL,32.5785,-86.4523
Citronelle,AL,31.0952,-88.2467
Hazel Green,AL,34.9236,-86.5671
Cottondale,AL,33.1923,-87.4543
Kimberly,AL,33.7758,-86.7964
Ladonia,AL,32.4609,-85.0877
Thomasville,AL,31.911,-87.7419
Loxley,AL,30.6812,-87.7416
Evergreen,AL,31.4342,-86.9723
Centre,AL,34.1537,-85.6689
Priceville,AL,34.5246,-86.8856
Emerald Mountain,AL,32.4396,-86.0857
Elba,AL,31.4172,-86.0759
Grand Bay,AL,30.4717,-88.345
Heflin,AL,33.647,-85.5698
Union Springs,AL,32.1395,-85.7141
Weaver,AL,33.7601,-85.8117
Lake View,AL,33.2802,-87.1259
Moulton,AL,34.4844,-87.2833
Marion,AL,32.6318,-87.3172
Livingston,AL,32.5982,-88.1891
Brent,AL,32.9421,-87.1753
Warrior,AL,33.8149,-86.8157
Red Bay,AL,34.4357,-88.1361
Hanceville,AL,34.0632,-86.7645
East Brewton,AL,31.0906,-87.0556
West End-Cobb Town,AL,33.6526,-85.8741
Dadeville,AL,32.8326,-85.7675
Huguley,AL,32.8431,-85.2396
Brighton,AL,33.4396,-86.9454
Eutaw,AL,32.8436,-87.8986
New Hope,AL,34.537,-86.4128
Choccolocco,AL,33.6683,-85.7128
Eagle Point,AL,33.3937,-86.6779
Centreville,AL,32.9598,-87.1334
Triana,AL,34.5888,-86.7489
Moundville,AL,32.9968,-87.6272
Creola,AL,30.8906,-88.0132
Dora,AL,33.7288,-87.0842
Graysville,AL,33.6567,-86.9665
Luverne,AL,31.7186,-86.2687
Stevenson,AL,34.8487,-85.8437
Sumiton,AL,33.7502,-87.0483
La Fayette,AL,32.8997,-85.4007
Underwood-Petersville,AL,34.877,-87.6975
Jemison,AL,32.9696,-86.7339
Hartford,AL,31.1055,-85.6916
Lineville,AL,33.3129,-85.7508
Taylor,AL,31.1658,-85.4697
Indian Springs Village,AL,33.359,-86.7492
Stapleton,AL,30.7395,-87.7943
Bayou La Batre,AL,30.4126,-88.2611
Remlap,AL,33.8049,-86.597
Clayton,AL,31.8823,-85.4605
Bon Secour,AL,30.3222,-87.7271
Trinity,AL,34.6011,-87.0816
Guin,AL,33.9832,-87.9023
Owens Cross Roads,AL,34.5845,-86.4574
Greensboro,AL,32.7014,-87.595
Thorsby,AL,32.9169,-86.7203
Ashford,AL,31.1858,-85.2359
Carlisle-Rockledge,AL,34.114,-86.1191
Good Hope,AL,34.1102,-86.8662
Henagar,AL,34.6306,-85.7413
Riverside,AL,33.6171,-86.2042
Brookwood,AL,33.2398,-87.3277
Butler,AL,32.0965,-88.2108
York,AL,32.4998,-88.2938
Kinsey,AL,31.2926,-85.3353
Bridgeport,AL,34.9496,-85.7243
Elberta,AL,30.3855,-87.5888
Brundidge,AL,31.7182,-85.8178
Morris,AL,33.7464,-86.8042
Aliceville,AL,33.1237,-88.1593
Abbeville,AL,31.5664,-85.2528
Cowarts,AL,31.2034,-85.3057
Wilsonville,AL,33.2346,-86.4884
Whitesboro,AL,34.1682,-86.0572
Camden,AL,32.0007,-87.2967
Lillian,AL,30.4122,-87.432
Deatsville,AL,32.5864,-86.3917
Lipscomb,AL,33.426,-86.9261
Coaling,AL,33.1641,-87.3534
Ashville,AL,33.8331,-86.2698
Grove Hill,AL,31.7006,-87.7748
Uniontown,AL,32.449,-87.4958
Collinsville,AL,34.2664,-85.8679
Point Clear,AL,30.4898,-87.9112
Selmont-West Selmont,AL,32.3784,-87.0074
Westover,AL,33.3684,-86.5346
Linden,AL,32.3001,-87.7926
Reform,AL,33.3788,-88.0173
Crossville,AL,34.2852,-85.9996
Vernon,AL,33.7588,-88.1143
Midland City,AL,31.3157,-85.4937
Fort Deposit,AL,31.9863,-86.5664
Marbury,AL,32.6793,-86.4608
Blountsville,AL,34.0814,-86.5867
Vance,AL,33.1746,-87.2314
Sylvania,AL,34.5616,-85.8056
Level Plains,AL,31.3071,-85.7687
Sardis City,AL,34.1749,-86.1125
Slocomb,AL,31.1103,-85.5954
Vincent,AL,33.3849,-86.4087
Stewartville,AL,33.0725,-86.2658
Ragland,AL,33.7469,-86.1384
Florala,AL,31.0176,-86.3138
Dauphin Island,AL,30.2525,-88.1438
Double Springs,AL,34.1502,-87.391
Ashland,AL,33.2703,-85.8337
Flomaton,AL,31.0127,-87.2541
Rehobeth,AL,31.1242,-85.4383
Malvern,AL,31.1428,-85.521
Cordova,AL,33.7613,-87.1926
Cedar Bluff,AL,34.2217,-85.5882
Frisco City,AL,31.4353,-87.4037
Smoke Rise,AL,33.8789,-86.824
Concord,AL,33.4674,-87.0392
Sylvan Springs,AL,33.5302,-87.0312
Sulligent,AL,33.8912,-88.1266
Newton,AL,31.3423,-85.5893
Gordo,AL,33.3221,-87.904
Harpersville,AL,33.3184,-86.4286
Munford,AL,33.5258,-85.9555
Bear Creek,AL,34.2651,-87.7164
Elmore,AL,32.5552,-86.3425
Mount Vernon,AL,31.0889,-88.0137
Samson,AL,31.1124,-86.0462
Locust Fork,AL,33.8957,-86.6302
Grant,AL,34.519,-86.2492
Carbon Hill,AL,33.8944,-87.5224
Rock Creek,AL,33.4772,-87.0812
Summerdale,AL,30.4783,-87.6904
Hackleburg,AL,34.2693,-87.8303
Altoona,AL,34.0308,-86.3179
Magnolia Springs,AL,30.4003,-87.7749
Blue Ridge,AL,32.501,-86.1839
Hayden,AL,33.8818,-86.7842
Lookout Mountain,AL,34.1091,-85.9585
Ballplay,AL,34.0179,-85.7852
Webb,AL,31.2572,-85.2896
Georgiana,AL,31.6391,-86.7468
West Blocton,AL,33.1186,-87.1253
Falkville,AL,34.3793,-86.9086
Rogersville,AL,34.8251,-87.2821
Fayetteville,AL,33.1643,-86.4412
Fyffe,AL,34.449,-85.9052
Camp Hill,AL,32.8002,-85.6536
Shoal Creek,AL,33.4328,-86.6071
Steele,AL,33.937,-86.2004
Parrish,AL,33.7323,-87.2802
Cleveland,AL,33.9964,-86.5671
Ardmore,AL,34.9847,-86.8373
Eclectic,AL,32.6387,-86.0387
Geraldine,AL,34.3579,-86.0037
Susan Moore,AL,34.0804,-86.4228
Brookside,AL,33.6372,-86.9002
Woodstock,AL,33.2193,-87.149
Snead,AL,34.1162,-86.3902
New Brockton,AL,31.3785,-85.9228
Killen,AL,34.8607,-87.5268
Redstone Arsenal,AL,34.6645,-86.653
Clio,AL,31.7085,-85.6109
Dunnavant,AL,33.4977,-86.5421
Millport,AL,33.5586,-88.0817
Brilliant,AL,34.0256,-87.7691
Goodwater,AL,33.0608,-86.0516
Ohatchee,AL,33.7877,-86.0281
Cottonwood,AL,31.0552,-85.3008
Pisgah,AL,34.6844,-85.846
Oak Grove,AL,33.1927,-86.304
Coats Bend,AL,34.0774,-85.8742
Baileyton,AL,34.2609,-86.6083
Egypt,AL,34.076,-86.1651
Carrollton,AL,33.2619,-88.0951
Notasulga,AL,32.5573,-85.6692
Skyline,AL,34.7986,-86.1228
Coosada,AL,32.4984,-86.3279
Coker,AL,33.2446,-87.68
Minor,AL,33.539,-86.9401
Tidmore Bend,AL,34.0324,-85.9253
Powell,AL,34.5326,-85.8975
Hayneville,AL,32.1822,-86.5787
Woodville,AL,34.6256,-86.2792
Douglas,AL,34.1705,-86.3224
Town Creek,AL,34.6718,-87.4063
New Market,AL,34.8892,-86.4226
Autaugaville,AL,32.432,-86.6578
Vandiver,AL,33.4601,-86.5247
Berry,AL,33.6623,-87.6079
Rockford,AL,32.8895,-86.215
Pea Ridge,AL,33.1454,-86.9372
Brantley,AL,31.5823,-86.2569
Section,AL,34.5816,-85.9849
Hollywood,AL,34.7195,-85.9641
Hobson City,AL,33.6148,-85.8561
Lexington,AL,34.9652,-87.3735
McKenzie,AL,31.5429,-86.7246
Cherokee,AL,34.7577,-87.967
Walnut Grove,AL,34.0641,-86.2863
New Union,AL,34.1422,-86.2218
Forkland,AL,32.6489,-87.8671
Leroy,AL,31.4952,-87.969
Wilton,AL,33.0813,-86.8799
Columbia,AL,31.2968,-85.1103
Littleville,AL,34.595,-87.6719
Brantleyville,AL,33.2196,-86.882
Allgood,AL,33.9064,-86.5178
Pine Hill,AL,31.9859,-87.5872
Wedowee,AL,33.3078,-85.4864
Shelby,AL,33.1068,-86.5825
Courtland,AL,34.6703,-87.326
Franklin,AL,32.4513,-85.7864
Edgewater,AL,33.5287,-86.9572
Gallant,AL,34.0013,-86.2304
Valley Head,AL,34.5558,-85.6224
Mignon,AL,33.1948,-86.265
New Site,AL,33.0282,-85.7801
Wadley,AL,33.1239,-85.5683
Rosa,AL,33.9899,-86.5045
Holly Pond,AL,34.1696,-86.6125
Mosses,AL,32.1802,-86.6888
Oakman,AL,33.7141,-87.389
Lynn,AL,34.0548,-87.5555
Sand Rock,AL,34.2312,-85.7704
Kinston,AL,31.22,-86.1705
Pickensville,AL,33.2336,-88.2744
Chatom,AL,31.4691,-88.246
Sterrett,AL,33.449,-86.4645
Hollins,AL,33.1214,-86.129
Reece City,AL,34.0772,-86.0345
Belle Fontaine,AL,30.492,-88.1131
Phil Campbell,AL,34.3519,-87.7072
Fairview,AL,34.2501,-86.6846
Pine Ridge,AL,34.4487,-85.7806
Jacksons' Gap,AL,32.8831,-85.8151
Our Town,AL,32.8304,-85.9687
Silverhill,AL,30.5455,-87.7506
Leesburg,AL,34.1839,-85.775
Addison,AL,34.2017,-87.1765
Leighton,AL,34.6941,-87.5282
Mulga,AL,33.5521,-86.973
Joppa,AL,34.2982,-86.5506
Hillsboro,AL,34.6407,-87.1838
Hollis Crossroads,AL,33.5231,-85.6437
Maplesville,AL,32.7867,-86.8783
Pinckard,AL,31.3173,-85.543
Gilbertown,AL,31.8663,-88.3075
Ariton,AL,31.5978,-85.7131
Dodge City,AL,34.0445,-86.8853
Perdido,AL,31.0034,-87.6323
White Plains,AL,33.7603,-85.688
Berlin,AL,34.1862,-86.7473
Clayhatchee,AL,31.2434,-85.7136
McDonald Chapel,AL,33.519,-86.9385
Arley,AL,34.0885,-87.2075
Garden City,AL,34.015,-86.7493
Millry,AL,31.6256,-88.319
Somerville,AL,34.4679,-86.7909
Ivalee,AL,34.0372,-86.1472
Pennington,AL,32.201,-88.0378
Ider,AL,34.7026,-85.669
White Hall,AL,32.2993,-86.7148
River Falls,AL,31.3525,-86.5412
Gurley,AL,34.7072,-86.3768
Nances Creek,AL,33.8588,-85.6733
