iso_code	country	ghg	co2	methane	nitrous_oxide	population	gdp	energy_consumption	electricity_generation	renewable_energy	hydropower	wind	biomass	solar	geothermal	
AFG	Afghanistan	84.014	8.2166	65.894	8.23	33319680.8	62717505200	34.2828	-9999	1071	1035	0.1	0	35.5	0	
ALB	Albania	9.192	4.841	3.232	1.208	2898227.4	29920003079	34.2292	7782	7784	7782	0	0	1.9	0	
DZA	Algeria	201.892	140.3374	49.184	11.192	38945428	533466891561	572.8864	70997	430.5	72	19.4	0	339.1	0	
AGO	Angola	191.476	33.0702	54.742	21.124	26958469.2	167061551874	105.1676	10361	7282	7109	0	155	18.3	0	
ATG	Antigua_and_Barbuda	1.214	0.4706	0.196	0.02	92514	-9999	2.982	-9999	5.5	0	0	0	5.5	0	
ARG	Argentina	473	190.7776	119.562	45.62	42634521	835383852739	976.4622	147220	31700	30134.8	554.1	1820	14.5	0	
ARM	Armenia	9.122	5.5118	2.518	1.142	2911188.2	28289721592	43.022	7315	2354	2351.2	1.8	0	1.2	0	
AUS	Australia	548.098	402.863	141.14	77.662	23590099.6	1118122614354	1598.116	227386	62917	14638	22605	3164	22510	0	
AUT	Austria	72.098	66.55	6.998	3.654	8619919.8	356787139629	394.4766	68351	50772	42919	5235	4603	1096	0	
AZE	Azerbaijan	74.672	36.2564	46.694	3.54	9502909.8	158191791610	159.8534	24953	2192	1959	22.8	174.5	35.3	0	
BHS	Bahamas	3.476	2.312	0.312	0.106	370698.2	-9999	12.5468	-9999	1.9	0	0	0	1.9	0	
BHR	Bahrain	44.916	30.536	13.438	0.084	1349738	53673584937	198.716	28510	9.5	0	1.2	0	8.3	0	
BGD	Bangladesh	200.538	67.6412	80.574	27.354	154503593.8	521147284169	329.103	64327	1183	946	5.1	7.7	224.3	0	
BRB	Barbados	4.044	1.3402	2.32	0.052	284788.4	3437122600	7.0252	-9999	29.6	0	0.1	0	29.5	0	
BLR	Belarus	85.662	61.2818	16.984	12.756	9431470.2	175450804164	288.8952	33566	392	141.9	74.8	147.2	28.1	0	
