538,137079706,270,29231179
Alabama,AL,9,1061687
Alaska,AK,3,159305
Arizona,AZ,11,1302329
Arkansas,AR,6,565318
California,CA,55,7118943
Connecticut,CT,7,822461
Delaware,DE,3,221908
District of Columbia,DC,3,155635
Hawaii,HI,4,214469
Idaho,ID,4,345217
Indiana,IN,11,1378915
Kansas,KS,6,597378
Kentucky,KY,8,962075
Louisiana,LA,8,1014517
Maine,ME,4,373964
Mississippi,MS,6,605545
Montana,MT,3,250912
Nebraska,NE,5,422114
Nevada,NV,6,562693
New Hampshire,NH,4,372149
New Mexico,NM,5,399160
North Dakota,ND,3,172181
Oklahoma,OK,7,726497
Oregon,OR,7,1000669
Rhode Island,RI,4,232073
South Carolina,SC,9,1051514
South Dakota,SD,3,185047
Tennessee,TN,11,1254014
Texas,TX,38,4484614
Utah,UT,6,571801
Vermont,VT,3,157534
West Virginia,WV,5,360616
Wyoming,WY,3,127925
